fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2496
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1680
192.168.3.59,192.168.3.1,2336
192.168.3.5,172.217.21.174,56688
192.168.3.5,172.217.21.170,44160
192.168.3.5,162.62.97.64,8960
192.168.3.14,224.0.0.252,976
192.168.3.14,192.168.3.255,3744
192.168.3.1,192.168.3.59,6128
172.217.21.174,192.168.3.5,38192
172.217.21.174,192.168.3.5,36544
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff3d:5487,4320
fe80::5c:9bce:309:e981,ff02::16,5700
192.168.3.7,192.168.3.255,3510
192.168.3.5,172.217.22.174,49335
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffc5:93bc,4032
fe80::18b7:eeb0:cdd3:9f8b,ff02::16,2128
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1190
216.58.207.196,192.168.3.59,42042
192.168.3.59,216.58.207.196,14238
192.168.3.59,192.168.3.1,1960
192.168.3.59,192.168.3.1,1624
192.168.3.5,192.168.3.255,3276
192.168.3.5,192.168.3.1,798
192.168.3.5,172.217.21.174,49826
192.168.3.14,239.255.255.250,63896
192.168.3.1,192.168.3.59,9856
172.217.21.174,192.168.3.5,31962
172.217.21.163,192.168.3.5,32088
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2158
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1300
216.58.207.196,192.168.3.59,38363
192.168.3.68,224.0.0.252,793
192.168.3.5,192.168.3.255,2028
192.168.3.5,192.168.3.1,871
192.168.3.5,17.57.146.139,1794
192.168.3.5,17.253.1.202,1352
192.168.3.5,162.62.97.64,13702
192.168.3.1,192.168.3.5,1781
17.253.1.202,192.168.3.5,780
172.217.22.174,192.168.3.5,35204
fe80::c29:281b:57a4:f537,ff02::1:3,1680
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2232
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1536
192.168.3.68,224.0.0.252,1200
192.168.3.59,192.168.3.1,1608
192.168.3.59,192.168.3.1,1368
192.168.3.5,216.58.207.227,24696
192.168.3.14,239.255.255.250,10440
192.168.3.1,192.168.3.59,8568
192.168.3.1,192.168.3.59,8328
192.168.3.1,192.168.3.59,4968
192.168.3.1,192.168.3.59,4560
192.168.3.1,192.168.3.5,4680
192.168.3.1,192.168.3.5,4116
172.217.22.174,192.168.3.5,33108
172.217.22.174,192.168.3.5,32544
172.217.22.174,192.168.3.5,32472
172.217.21.174,192.168.3.5,37368
172.217.21.174,192.168.3.5,27432
172.217.21.174,192.168.3.5,27420
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffbf:46a1,792
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,10384
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,4708
fe80::5c:9bce:309:e981,ff02::c,10494
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1034
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,4158
216.58.207.227,192.168.3.5,28622
192.168.3.62,224.0.0.22,880
192.168.3.59,192.168.3.1,1760
192.168.3.59,192.168.3.1,1496
192.168.3.5,17.253.5.202,7436
192.168.3.5,172.217.21.174,38269
192.168.3.5,162.62.97.64,11418
192.168.3.1,192.168.3.59,4730
192.168.3.1,192.168.3.59,4576
192.168.3.1,192.168.3.5,3641
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff59:87d6,720
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1980
192.168.3.5,192.168.3.66,4090
192.168.3.5,17.253.5.202,6780
192.168.3.5,162.62.97.64,10700
192.168.3.14,192.168.3.255,6060
192.168.3.1,192.168.3.59,7000
192.168.3.1,192.168.3.59,6620
192.168.3.1,192.168.3.5,1650
192.168.3.10,192.168.3.255,2340
172.217.21.174,192.168.3.5,23880
172.217.21.174,192.168.3.5,22820
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,6750
fe80::5c:9bce:309:e981,ff02::c,42336
fe80::106c:31c9:ec9:6333,ff02::fb,8928
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,837
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1458
62.237.86.238,192.168.3.59,684
192.168.3.59,62.237.86.238,684
192.168.3.59,192.168.3.1,1368
192.168.3.5,49.51.89.155,8622
192.168.3.5,224.0.0.251,8208
192.168.3.5,216.58.207.238,23958
192.168.3.5,192.168.3.62,3681
192.168.3.5,192.168.3.1,504
192.168.3.5,172.217.21.174,32040
192.168.3.1,192.168.3.5,2916
172.217.22.174,192.168.3.5,24849
172.217.21.174,192.168.3.5,21456
162.62.97.64,192.168.3.5,6750
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,680
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,5600
